13,09100,Metabolism
14,09104,Nucleotide metabolism
15,00230,Purine metabolism
15,00240,Pyrimidine metabolism
13,09180,Brite Hierarchies
14,09182,Protein families: genetic information processing
15,03400,DNA repair and recombination proteins
